axisX,axisY,axisZ
-0.854857,0.975696,1.104
-0.748855,1.008431,1.104
-0.733163,1.027954,1.104
-0.807887,1.125073,1.104
-0.937433,1.256113,1.104
-0.236611,1.103412,-3.324058
-0.146702,1.014607,-3.123538
-0.098098,0.940123,-2.952912
-0.05255,0.849827,-2.737936
-0.162277,0.441362,-3.77487
0.048797,0.771078,-2.307197
0.083954,0.758772,-2.241064
0.101591,0.757254,-2.235768
0.105918,0.753672,-2.219581
0.125146,0.73041,-2.113625
0.129559,0.719775,-2.070955
0.132352,0.700854,-2.011003
0.146886,0.677051,-1.942492
0.163339,0.649377,-1.860384
0.17141,0.622009,-1.785755
0.165764,0.598242,-1.743289
0.155211,0.582806,-1.714725
0.158305,0.568938,-1.690858
0.166644,0.557388,-1.671806
0.186395,0.536149,-1.637318
0.209171,0.525775,-1.621376
0.220098,0.525574,-1.622283
0.227704,0.525779,-1.623532
0.233852,0.520124,-1.614115
0.244751,0.512001,-1.600828
0.258475,0.502779,-1.58745
0.275749,0.487964,-1.570265
0.290208,0.469388,-1.548448
0.305828,0.448153,-1.529623
0.316127,0.425706,-1.518751
0.322842,0.396098,-1.514246
0.326999,0.385459,-1.517041
0.328159,0.288156,-1.627641
0.350188,0.255675,-1.632413
0.375719,0.227862,-1.621629
0.411747,0.245372,-1.566628
0.430987,0.210688,-1.573323
0.441094,0.205953,-1.578603
0.443039,0.206075,-1.579983
0.442193,0.211278,-1.580642
0.437069,0.214077,-1.577763
0.432761,0.210608,-1.574455
0.424263,0.220337,-1.569572
0.418233,0.221305,-1.56677
0.418081,0.221977,-1.566777
0.418751,0.221548,-1.566992
0.416856,0.214542,-1.565663
0.407963,0.219181,-1.56301
0.39495,0.222793,-1.559076
0.372084,0.214597,-1.549253
0.354128,0.21607,-1.550375
0.333766,0.207695,-1.585878
0.31928,0.204973,-1.625436
0.31595,0.237063,-1.624651
0.312298,0.275153,-1.623791
0.310538,0.294374,-1.623378
0.319362,0.398423,-1.512996
0.312249,0.412052,-1.511997
0.295292,0.4284,-1.5147
0.26788,0.443573,-1.515267
0.225794,0.460203,-1.52476
0.198098,0.471781,-1.53406
0.165175,0.488835,-1.554591
0.151481,0.498094,-1.566575
0.146372,0.507025,-1.580506
0.153084,0.511828,-1.589889
0.156238,0.520858,-1.606288
0.156788,0.52928,-1.621128
0.143314,0.542248,-1.641934
0.118897,0.547016,-1.6468
0.081395,0.554953,-1.655641
0.037516,0.558883,-1.657318
0.005911,0.556821,-1.655684
-0.011891,0.557948,-1.659715
-0.023337,0.560131,-1.664831
-0.032766,0.567256,-1.678542
-0.043132,0.573288,-1.690597
-0.071658,0.577425,-1.701927
-0.100272,0.574634,-1.701124
-0.116428,0.571256,-1.697512
-0.115313,0.564038,-1.684701
-0.079054,0.550214,-1.655287
-0.02795,0.540241,-1.630937
0.046007,0.533271,-1.613972
0.106967,0.529081,-1.61384
0.175763,0.525374,-1.616784
0.22315,0.524023,-1.619859
0.274209,0.529892,-1.637238
0.312425,0.532883,-1.651795
0.367834,0.539534,-1.677888
0.416228,0.538869,-1.690925
0.466521,0.536687,-1.707381
0.532792,0.535202,-1.733179
0.585431,0.542126,-1.728549
0.614055,0.552446,-1.744218
0.628132,0.560272,-1.755885
0.631406,0.579108,-1.771217
0.633137,0.593299,-1.784796
0.636654,0.610409,-1.808672
0.645002,0.623113,-1.825247
0.65678,0.630972,-1.833548
0.67317,0.634221,-1.840109
0.699091,0.637389,-1.851285
